Country,Subject Descriptor,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Egypt,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"2,185.51","2,377.32","2,636.33","2,903.53","3,161.81","3,405.55","3,547.53","3,709.11","3,913.09","4,097.69","4,311.93","4,459.12","4,481.64","4,576.20","4,774.49","4,978.22","5,208.20","5,490.22","5,853.91","6,170.42","6,502.52","6,742.36","6,929.26","7,133.37","7,482.13","7,900.57","8,516.06","9,186.53","9,821.88","10,130.29","10,529.38","10,694.41","11,620.12","11,726.03","11,350.95","11,957.71","11,616.34","11,158.25","11,797.90","12,445.21","12,789.91","13,083.41","13,859.94",2020
Eritrea,"Gross domestic product, current prices",U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.606,0.374,0.433,0.483,0.579,0.594,0.626,0.614,0.547,0.582,0.564,0.673,0.858,0.85,0.937,1.02,0.923,1.297,1.59,2.065,2.255,1.958,2.604,2.016,2.213,1.904,2.006,1.982,2.086,2.25,2.418,2018
Eritrea,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,751.001,875.195,"1,091.10","1,147.11","1,279.48","1,405.01","1,441.52","1,444.77","1,263.51","1,355.20","1,357.43","1,283.82","1,279.01","1,301.60","1,286.58","1,304.67","1,048.45","1,163.46","1,284.17","1,625.49","1,669.21","1,506.53","1,991.68","1,589.08","1,700.79","1,537.45","1,758.92","1,835.61","1,820.71","1,862.15","1,965.07",0
Ethiopia,"Gross domestic product, current prices",U.S. dollars,Billions,7.385,7.578,7.973,8.863,8.375,9.808,10.188,10.89,11.285,11.872,12.595,13.928,14.696,9.143,8.135,7.887,8.794,8.621,7.815,7.515,8.167,8.103,7.828,8.604,10.122,12.387,15.31,19.329,26.25,28.672,26.887,30.48,42.221,46.544,54.165,63.081,72.12,76.841,80.207,92.608,96.611,93.966,92.907,2020
Ethiopia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,306.166,327.239,341.064,370.515,363.099,321.266,348.144,393.41,396.62,397.066,408.798,379.058,341.343,383.009,391.822,411.464,461.755,469.48,442.534,464.469,507.816,541.122,543.399,510.559,570.806,645.952,723.23,809.252,902.944,985.05,"1,084.80","1,214.29","1,314.85","1,408.01","1,680.73","1,861.84","2,134.42","2,321.44","2,519.96","2,752.70","2,908.30","2,972.62","3,251.58",2016
Gabon,"Gross domestic product, current prices",U.S. dollars,Billions,4.559,4.111,3.853,3.689,3.547,3.736,4.889,3.699,4.079,4.458,6.339,5.754,5.955,5.757,4.463,5.281,6.064,5.673,4.774,4.966,5.397,5.023,5.332,6.51,7.767,9.468,10.164,12.457,15.57,12.188,14.384,18.207,17.181,17.596,18.209,14.385,14.02,14.924,16.875,16.875,15.642,18.362,18.768,2019
Gabon,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"8,872.13","9,122.38","9,866.13","10,232.52","10,881.85","11,621.46","11,356.61","9,633.39","10,099.97","11,854.75","12,653.27","13,448.43","12,926.40","13,429.33","13,878.37","14,511.35","14,939.26","15,677.00","16,004.70","14,423.22","14,115.06","14,375.33","14,273.19","14,424.90","14,613.77","14,585.80","14,380.96","15,245.13","15,232.08","14,449.33","14,965.59","15,762.73","15,487.11","15,234.60","15,499.57","14,834.21","14,490.23","15,302.64","15,587.77","16,271.87","15,970.05","16,243.91","16,853.70",2004
Ghana,"Gross domestic product, current prices",U.S. dollars,Billions,38.219,61.792,72.038,48.515,17.332,15.379,14.228,11.932,12.678,12.897,14.898,16.673,16.485,13.383,12.303,14.544,15.458,15.786,17.153,17.756,11.467,12.227,14.2,17.494,20.244,24.521,28.785,33.942,38.414,34.254,43.043,53.645,56.505,63.279,53.173,48.595,54.989,58.978,65.518,66.998,68.418,74.26,79.737,2019
Ghana,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,194.78","1,228.88","1,171.13","1,114.19","1,181.95","1,270.55","1,342.89","1,435.07","1,547.32","1,642.08","1,723.80","1,824.11","1,901.49","1,990.68","2,054.53","2,133.47","2,220.57","2,332.20","2,415.80","2,499.12","2,456.90","2,541.17","2,634.77","2,752.98","2,908.92","3,110.26","3,312.46","3,460.79","3,758.32","3,908.99","4,046.54","4,605.21","5,120.73","5,285.17","5,480.81","5,143.53","4,917.35","5,028.02","5,357.43","5,688.21","5,692.64","5,967.64","6,313.84",2018
Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,2.4,2.381,2.335,2.284,2.327,2.473,2.675,2.84,3.317,3.384,3.71,4.195,4.57,4.562,4.707,5.139,5.316,5.212,5.003,4.798,4.039,3.806,4.022,4.759,5.054,4.506,4.178,6.317,6.966,6.753,6.858,6.034,7.304,8.374,8.79,8.79,8.604,10.337,12.181,13.797,15.455,16.339,17.428,2018
Guinea,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,931.535,935.544,932.054,945.862,954.173,977.727,"1,006.96","1,051.20","1,080.83","1,119.22","1,153.40","1,201.32","1,262.02","1,279.04","1,319.13","1,372.21","1,416.11","1,510.61","1,562.15","1,509.10","1,549.72","1,628.17","1,615.26","1,679.89","1,673.19","1,684.80","1,928.24","2,252.16","2,389.06","2,506.31","2,604.14","2,730.65","2,867.24",2014
Kenya,"Gross domestic product, current prices",U.S. dollars,Billions,10.099,9.513,9.159,8.47,8.788,8.746,10.387,11.387,11.806,11.705,12.18,11.501,11.327,7.869,9.422,11.944,13.565,13.742,15.739,14.353,14.136,14.536,14.764,16.796,18.064,21.001,25.826,31.959,35.895,37.022,40,41.671,50.422,55.125,61.546,64.235,69.19,78.896,87.801,95.41,99.287,106.041,112.75,2019
Kenya,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,991.164,"1,088.79","1,171.90","1,194.77","1,216.00","1,263.67","1,336.24","1,398.14","1,483.68","1,559.34","1,638.63","1,663.80","1,632.98","1,621.58","1,650.19","1,708.79","1,757.13","1,748.24","1,768.26","1,775.75","1,772.34","1,833.56","1,823.39","1,858.24","1,942.10","2,059.68","2,187.99","2,333.44","2,319.38","2,350.31","2,517.38","2,664.90","2,777.33","3,042.80","3,327.85","3,717.46","4,025.19","4,475.92","4,757.70","4,984.57","4,925.52","5,274.41","5,577.11",2019
Liberia,"Gross domestic product, current prices",U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.864,0.908,0.946,0.714,0.895,0.947,1.11,1.346,1.677,1.769,1.973,2.342,2.673,3.046,3.09,3.088,3.258,3.335,3.264,3.064,3.033,3.37,3.693,2016
Liberia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,978.082,990.496,"1,026.14",729.642,764.28,812.541,877.29,979.135,"1,015.73","1,034.66","1,074.68","1,146.18","1,240.49","1,433.36","1,466.59","1,357.31","1,481.82","1,662.31","1,680.18","1,625.55","1,556.99","1,601.57","1,673.30",2016
Libya,"Gross domestic product, current prices",U.S. dollars,Billions,38.941,33.641,33.541,31.963,29.93,29.44,23.987,22.294,25.067,26.594,30.644,33.908,34.358,30.921,28.796,32.69,35.683,36.531,29.96,35.975,38.271,34.112,20.471,26.186,32.996,47.335,54.963,67.69,73.917,50.808,68.974,31.999,79.759,51.896,24.262,17.216,18.563,30.211,41.432,39.832,21.797,24.267,25.901,2017
Libya,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"36,300.89","30,373.42","31,264.84","29,710.15","27,055.90","28,237.13","24,579.56","20,603.00","20,338.63","21,672.62","24,752.00","28,916.37","28,128.09","27,103.23","27,671.40","24,228.25","24,850.59","24,717.10","24,453.68","24,529.81","25,549.59","25,259.27","25,032.11","28,390.38","29,957.93","34,063.33","36,718.63","39,476.29","32,390.97","31,237.64","32,167.77","11,167.41","23,665.80","15,877.89","8,573.42","7,671.71","7,996.69","10,708.89","12,798.80","14,599.42","5,893.26","13,723.27","14,651.10",2017
Madagascar,"Gross domestic product, current prices",U.S. dollars,Billions,5.202,4.759,4.785,4.686,3.906,3.803,4.348,3.213,3.189,3.176,3.931,3.255,3.715,4.063,3.522,3.838,4.932,4.263,4.402,4.278,4.629,5.438,5.352,6.372,5.065,5.859,6.396,8.525,10.725,9.617,9.983,11.552,11.579,12.424,12.523,11.323,11.849,13.176,13.974,14.519,13.837,14.746,15.972,2018
Madagascar,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,014.91",975.63,990.087,"1,011.61","1,038.90","1,055.17","1,067.23","1,075.14","1,117.72","1,173.52","1,212.98","1,141.06","1,146.43","1,162.87","1,151.67","1,159.28","1,168.87","1,194.69","1,216.39","1,251.89","1,295.85","1,360.82","1,174.41","1,274.20","1,336.77","1,401.93","1,478.50","1,559.23","1,648.50","1,550.58","1,534.89","1,548.33","1,530.94","1,535.50","1,555.83","1,546.84","1,607.58","1,586.40","1,633.54","1,692.14","1,599.04","1,639.17","1,717.51",2010
Malawi,"Gross domestic product, current prices",U.S. dollars,Billions,2.146,2.146,2.046,2.121,2.095,1.962,2.048,2.013,2.314,2.639,2.999,3.821,3.12,3.591,2.081,2.423,3.956,4.619,3.036,3.08,3.023,2.967,3.496,3.211,3.476,3.656,3.998,4.431,5.321,6.195,6.957,7.984,5.981,5.432,6.055,6.402,5.492,6.23,6.911,7.663,8.488,9.268,9.598,2019
Malawi,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,357.252,360.389,382.382,400.844,422.711,436.298,420.489,411.866,414.177,414.449,437.618,480.586,450.041,502.385,457.086,524.579,576.1,609.443,605.964,619.408,622.489,596.718,594.212,625.85,663.045,692.099,725.927,794.529,847.98,899.693,945.512,983.784,957.191,"1,026.14",998.44,946.405,956.775,945.343,970.769,"1,003.66",993.313,"1,004.73","1,063.62",2016
Mali,"Gross domestic product, current prices",U.S. dollars,Billions,2.031,1.66,1.468,1.418,1.416,1.426,1.981,2.308,2.316,2.827,3.223,3.284,3.372,3.362,2.575,3.337,3.416,3.208,3.328,3.444,2.963,3.468,3.905,4.713,5.452,6.251,6.906,8.157,9.837,10.221,10.698,12.993,12.45,13.243,14.369,13.106,14.022,15.36,17.079,17.308,17.639,19.912,21.824,2018
Mali,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,542.162,566.498,521.351,547.609,569.041,594.284,631.997,653.587,667.818,757.929,846.511,925.29,911.57,942.944,973.638,996.68,"1,060.34","1,101.42","1,117.23","1,173.21","1,166.90","1,337.71","1,360.67","1,467.37","1,483.66","1,578.93","1,648.39","1,695.04","1,751.07","1,786.50","1,844.03","1,883.12","1,816.69","1,866.33","1,971.77","2,093.23","2,255.12","2,315.16","2,409.91","2,493.66","2,400.82","2,468.63","2,597.78",2017
Mauritania,"Gross domestic product, current prices",U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.793,2.055,2.164,1.847,1.945,2.092,2.132,2.072,2.027,1.986,1.78,1.746,1.777,2.051,2.362,2.936,4.009,4.328,5.138,4.725,5.637,6.782,6.721,7.331,6.615,6.182,6.414,6.784,7.048,7.93,8.176,9.239,8.724,2018
Mauritania,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"2,756.88","2,773.80","2,809.00","2,961.06","2,850.81","3,107.70","3,255.54","3,089.04","3,120.59","3,313.64","3,162.60","3,114.64","3,116.02","3,297.61","3,447.93","3,755.10","4,723.99","4,625.12","4,574.25","4,494.22","4,548.42","4,715.71","4,754.60","5,098.71","4,662.14","4,585.90","5,158.55","5,601.83","5,727.33","6,020.42","5,833.88","5,992.65","6,328.32",2014
Morocco,"Gross domestic product, current prices",U.S. dollars,Billions,21.998,17.86,18.028,16.296,14.904,15.043,19.864,21.911,25.947,26.706,30.18,32.286,33.712,31.656,35.605,39.029,43.162,39.147,41.806,41.632,38.859,39.46,42.238,52.064,59.626,62.343,68.641,79.041,92.507,92.897,93.217,101.371,98.266,106.826,110.081,101.179,103.312,109.683,118.096,119.701,113.548,124.003,131.309,2019
Morocco,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,493.52","1,549.24","1,757.29","1,773.85","1,873.16","2,006.91","2,166.06","2,113.06","2,361.44","2,455.03","2,639.53","2,870.25","2,821.29","2,815.80","3,125.74","2,974.38","3,355.65","3,313.32","3,543.67","3,584.09","3,683.72","3,986.10","4,120.22","4,388.44","4,661.33","4,900.81","5,362.19","5,628.63","6,001.89","6,225.95","6,458.37","6,854.59","6,856.81","7,090.59","6,793.07","7,244.17","7,355.97","7,581.00","7,923.77","8,180.16","7,619.89","8,027.28","8,446.10",2018
Mozambique,"Gross domestic product, current prices",U.S. dollars,Billions,4.615,3.585,3.662,3.28,3.417,4.516,5.301,2.395,2.105,2.199,3.529,3.704,2.584,2.651,2.848,2.959,4.163,4.976,5.625,5.928,5.39,5.31,5.626,6.254,7.589,8.512,9.303,10.534,12.64,12.261,11.418,14.382,16.257,16.968,17.623,15.951,11.937,13.15,14.71,15.195,14.385,13.957,14.889,2019
Mozambique,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,200.786,225.269,217.599,186.757,178.065,183.614,182.291,214.52,240.758,265.551,274.69,295.495,274.751,299.708,314.293,317.274,348.769,384.341,416.51,460.103,463.542,516.56,557.626,590.406,636.277,680.614,743.5,799.631,850.442,885.876,927.912,989.146,"1,000.50","1,047.83","1,100.13","1,248.08","1,319.97","1,245.03","1,284.01","1,301.69","1,276.62","1,292.63","1,348.16",2015
Namibia,"Gross domestic product, current prices",U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.838,2.854,3.014,2.891,3.254,3.503,3.494,3.636,3.215,3.384,3.911,3.55,3.369,4.932,6.617,7.258,7.984,8.73,8.496,8.915,11.281,12.423,13.016,12.168,12.434,11.45,10.719,12.883,13.672,12.541,10.564,11.381,12.023,2020
Namibia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"4,081.69","4,263.31","4,592.69","4,476.40","4,570.85","4,721.99","4,814.04","4,944.35","5,004.79","5,088.21","5,316.21","5,557.05","5,924.55","6,142.13","6,614.10","7,014.34","7,379.87","7,847.74","8,091.01","8,055.98","8,514.33","8,999.74","9,511.58","9,901.42","10,633.42","10,792.67","10,578.10","10,316.89","10,481.63","10,299.51","9,396.84","9,541.88","9,799.61",2019
Niger,"Gross domestic product, current prices",U.S. dollars,Billions,3.531,3.056,2.84,2.538,2.056,2.027,2.68,3.143,3.21,3.068,3.491,3.271,3.372,3.041,1.935,2.296,2.397,2.285,2.639,2.532,2.235,2.442,2.772,3.382,3.746,4.372,4.743,5.716,7.279,7.324,7.838,8.754,9.412,10.206,10.83,9.684,10.35,11.185,12.85,12.912,13.698,15.899,18.528,2019
Niger,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,703.952,743.833,779.904,752.952,627.483,674.9,709.188,704.82,755.868,768.749,762.883,760.207,766.987,761.282,765.243,773.526,761.491,759.279,814.992,795.924,775.388,819.63,842.127,844.756,838.934,894.536,940.425,959.323,"1,014.54","1,003.38","1,060.60","1,066.13","1,156.14","1,125.27","1,138.77","1,145.24","1,148.28","1,163.64","1,229.59","1,276.11","1,258.71","1,319.57","1,466.62",2009
Nigeria,"Gross domestic product, current prices",U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,62.165,60.131,52.275,56.807,80.128,132.23,172.686,187.866,209.677,57.477,67.824,73.128,93.983,102.935,130.345,169.645,222.791,262.215,330.26,297.458,369.062,414.095,460.952,514.966,568.499,492.437,404.649,375.745,421.737,448.12,429.423,514.049,588.419,2019
Nigeria,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,829.12","1,833.26","1,868.46","1,894.70","1,892.35","1,919.81","1,984.17","2,025.58","2,047.84","2,036.78","2,142.88","2,277.94","2,585.89","2,811.93","3,108.58","3,342.49","3,580.56","3,843.30","4,090.27","4,348.40","4,765.34","4,967.82","5,000.03","5,225.17","5,507.17","5,426.35","5,234.69","5,190.36","5,278.84","5,352.67","5,186.77","5,280.28","5,388.09",2012
Senegal,"Gross domestic product, current prices",U.S. dollars,Billions,4.338,3.934,3.85,3.435,3.35,3.668,5.188,6.241,6.173,6.083,7.078,6.955,7.435,7.014,4.746,6.026,6.3,5.867,6.416,6.599,6.016,6.508,7.001,8.767,10.072,11.015,11.699,13.996,16.852,16.128,16.134,17.811,17.672,18.919,19.802,17.777,19.035,20.989,23.127,23.307,24.448,27.927,30.521,2019
